threshold,accuracy,sensitivity,specificity,precision,f1_score,tp,tn,fp,fn,num_detections,masks_generated,conf_min,conf_max,conf_mean
0.15,0.7844827586206896,0.902027027027027,0.6619718309859155,0.7355371900826446,0.8103186646433991,267,188,96,29,363,796,0.1500968039035797,0.9944979548454285,0.5202549764671218
0.2,0.8051724137931034,0.8918918918918919,0.7147887323943662,0.7652173913043478,0.8237129485179406,264,203,81,32,345,665,0.20064830780029297,0.9944979548454285,0.5889266581687712
0.25,0.8120689655172414,0.8648648648648649,0.7570422535211268,0.7876923076923077,0.8244766505636071,256,215,69,40,325,591,0.2504535913467407,0.9944979548454285,0.63468605007617
0.3,0.8224137931034483,0.8412162162162162,0.8028169014084507,0.8163934426229508,0.8286189683860232,249,228,56,47,305,534,0.3003990650177002,0.9944979548454285,0.6729123051581758
0.35,0.8275862068965517,0.8209459459459459,0.8345070422535211,0.8379310344827586,0.8293515358361774,243,237,47,53,290,483,0.3517110347747803,0.9944979548454285,0.710055075632119
0.4,0.8258620689655173,0.7972972972972973,0.8556338028169014,0.851985559566787,0.8237347294938917,236,243,41,60,277,450,0.4005204737186432,0.9944979548454285,0.7345794633362028
0.5,0.8327586206896552,0.7702702702702703,0.897887323943662,0.8871595330739299,0.8245931283905967,228,255,29,68,257,380,0.5043790936470032,0.9944979548454285,0.786886318420109
