threshold,accuracy,sensitivity,specificity,precision,f1_score,tp,tn,fp,fn,num_detections,conf_min,conf_max,conf_mean
0.15,0.8017241379310345,0.9155405405405406,0.6830985915492958,0.7506925207756233,0.8249619482496197,271,194,90,25,361,0.1502726674079895,0.9794700741767883,0.5304510954070587
0.2,0.8172413793103448,0.902027027027027,0.7288732394366197,0.7761627906976745,0.834375,267,207,77,29,344,0.2006867676973343,0.9794700741767883,0.5829841198905414
0.25,0.8241379310344827,0.8783783783783784,0.7676056338028169,0.7975460122699386,0.8360128617363344,260,218,66,36,326,0.2506018877029419,0.9794700741767883,0.6251664355661742
0.3,0.8241379310344827,0.8513513513513513,0.795774647887324,0.8129032258064516,0.8316831683168316,252,226,58,44,310,0.30140531063079834,0.9794700741767883,0.6686951902716659
0.35,0.8293103448275863,0.8378378378378378,0.8204225352112676,0.8294314381270903,0.8336134453781512,248,233,51,48,299,0.3514704406261444,0.9794700741767883,0.7045563818117894
0.4,0.8379310344827586,0.8243243243243243,0.852112676056338,0.8531468531468531,0.8384879725085911,244,242,42,52,286,0.4023314118385315,0.9794700741767883,0.7294147215651338
0.5,0.8241379310344827,0.777027027027027,0.8732394366197183,0.8646616541353384,0.8185053380782917,230,248,36,66,266,0.501427948474884,0.9794700741767883,0.7780299196342397
