auc_roc,auc_pr,brier,balanced_accuracy,macro_f1,mcc,malignant_recall,malignant_precision,specificity
0.8852813852813852,0.7228624127542838,0.09749995917053887,0.7538961038961038,0.7639639639639639,0.5290615626711004,0.5714285714285714,0.631578947368421,0.936363636355124
0.9205387205387205,0.823270233644863,0.0838061873904496,0.8074074074074074,0.8219919943489522,0.6463411088732813,0.6666666666666666,0.7586206896551724,0.9481481481411249
0.8959263392857143,0.7464075532999175,0.10289004366958224,0.7684151785714286,0.7760551248923342,0.552793231817157,0.6071428571428571,0.6538461538461539,0.9296874999927369
0.8761808367071525,0.7308638928163865,0.09926048771792233,0.7473009446693657,0.7749408983451537,0.5615977834408079,0.5384615384615384,0.7368421052631579,0.9561403508688058
0.9468765371372357,0.8541653184819633,0.06177402160697687,0.8760452533202164,0.8760452533202164,0.7520905066404329,0.7894736842105263,0.7894736842105263,0.9626168224209101
0.9166666666666666,0.753843649385096,0.08017427297541098,0.803921568627451,0.7979061185960696,0.5960633161503099,0.6666666666666666,0.6363636363636364,0.9411764705813149
0.8655238095238096,0.6646368168460708,0.0987344340838545,0.7497142857142858,0.7497142857142858,0.49942857142857144,0.5714285714285714,0.5714285714285714,0.927999999992576
0.9035728006146754,0.7230116020337007,0.08487624379655838,0.779293123319247,0.7613176131761317,0.5248843003001882,0.631578947368421,0.5454545454545454,0.9270072992633066
0.9481668773704172,0.8687908854671643,0.0786868530160461,0.8440265486725664,0.8440265486725664,0.6880530973451328,0.75,0.75,0.9380530973368314
0.9195652173913044,0.7950234121301418,0.08148861890467937,0.8144927536231884,0.8090447787768182,0.6183239636408276,0.6956521739130435,0.6666666666666666,0.9333333333255556
0.893495112908662,0.7348817198666675,0.09045242419060011,0.7772160431412201,0.7874125874125875,0.5757869717487153,0.6086956521739131,0.6666666666666666,0.9457364341011959
0.8913868613138687,0.7260469621903178,0.0938416913472838,0.7871532846715328,0.7871532846715328,0.5743065693430657,0.64,0.64,0.934306569336246
0.9183375104427736,0.8175184200547055,0.09233632447595659,0.8070175438596491,0.823153604670375,0.6496057634763824,0.6666666666666666,0.7741935483870968,0.9473684210455086
0.9035714285714286,0.7365476026816227,0.0801892018418585,0.7931818181818182,0.7988910038897625,0.5980302936376362,0.6363636363636364,0.6666666666666666,0.9499999999932144
0.9324366593681577,0.7767043015471193,0.07294611525439465,0.8226462308414138,0.8226462308414138,0.6452924616828276,0.6956521739130435,0.6956521739130435,0.9496402877629523
0.943289224952741,0.8526452709067964,0.06641180782543489,0.8652173913043478,0.858961256155347,0.7181848464596079,0.782608695652174,0.75,0.9478260869482797
0.8652941176470589,0.6697736410107455,0.10805984783877107,0.7432352941176471,0.7472527472527473,0.4946865952669975,0.56,0.5833333333333334,0.9264705882284819
0.9078518518518518,0.7866697467458514,0.08047175166328153,0.7988148148148149,0.8268229166666667,0.6619477562826281,0.6296296296296297,0.8095238095238095,0.9679999999922559
0.8925577851155703,0.778887116590021,0.10579328536381126,0.7710185420370841,0.78117786717668,0.5637168492273605,0.6129032258064516,0.6785714285714286,0.9291338582604005
0.9057459677419355,0.7969984317667455,0.09726271376061948,0.8074596774193548,0.8110537387645822,0.6222546363557133,0.6875,0.7096774193548387,0.9274193548312305
0.8920897284533648,0.7686130875879795,0.11314122830699481,0.7669421487603305,0.7837701612903225,0.5724967104622942,0.6,0.7241379310344828,0.9338842975129431
0.8924949290060851,0.7103638168554135,0.0809259586284763,0.7682555780933062,0.7751333073221485,0.550654623656413,0.5882352941176471,0.625,0.9482758620607907
0.8919944789510007,0.7258755965677233,0.09536503347750462,0.7686335403726708,0.7686335403726708,0.5372670807453416,0.6086956521739131,0.6086956521739131,0.9285714285640589
0.9479136690647482,0.8357621480754145,0.05081037050273542,0.8528057553956834,0.8840989399293286,0.7750805120501173,0.72,0.9,0.9856115107842762
0.9228260869565218,0.7669683261163627,0.07959243512822912,0.817391304347826,0.7981088678763097,0.5984787829173098,0.7,0.6086956521739131,0.9347826086888784
