auc_roc,auc_pr,brier,balanced_accuracy,macro_f1,mcc,malignant_recall,malignant_precision,specificity
0.8852813852813853,0.6978767101122161,0.09946108165425388,0.7538961038961038,0.7639639639639639,0.5290615626711004,0.5714285714285714,0.631578947368421,0.936363636355124
0.9261503928170596,0.8307167821554604,0.08523854335557476,0.7885521885521886,0.8022133270543913,0.6066969663794108,0.6363636363636364,0.7241379310344828,0.9407407407337723
0.8973214285714286,0.7218506494401394,0.10458777476270328,0.7427455357142857,0.7461620091970287,0.4924799006716135,0.5714285714285714,0.5925925925925926,0.9140624999928589
0.8960863697705803,0.7408117305300856,0.09978046818917026,0.742914979757085,0.7658862876254181,0.5399055247990171,0.5384615384615384,0.7,0.9473684210443213
0.9621249385145105,0.828387843175941,0.06565546813910203,0.8403836694540088,0.8331527627302275,0.6666524359109393,0.7368421052631579,0.7,0.9439252336360381
0.9135154061624651,0.7393204112495022,0.08121883259564378,0.7764355742296919,0.7709602677422123,0.5421566683187439,0.6190476190476191,0.5909090909090909,0.9338235294048984
0.9017142857142857,0.6949895342662475,0.0906209507753108,0.7497142857142858,0.7497142857142858,0.49942857142857144,0.5714285714285714,0.5714285714285714,0.927999999992576
0.9208605455243949,0.6861111597455654,0.08422154543061988,0.7756434882827506,0.7523809523809524,0.5085399529472013,0.631578947368421,0.5217391304347826,0.9197080291903672
0.9579646017699115,0.8594320217266462,0.07602879376750309,0.8351769911504425,0.8263546798029557,0.6534318726158093,0.75,0.7,0.9203539822927402
0.9391304347826087,0.7970060174301954,0.08033718870679146,0.7927536231884058,0.7927536231884058,0.5855072463768116,0.6521739130434783,0.6521739130434783,0.9333333333255556
0.8881024603977081,0.7087740713110906,0.09146592352959837,0.7516009437141894,0.7608391608391609,0.5225835555141836,0.5652173913043478,0.6190476190476191,0.9379844961167599
0.8966423357664233,0.6929444696032259,0.09696837051305023,0.7798540145985402,0.7709276018099548,0.5425541111296178,0.64,0.5925925925925926,0.9197080291903672
0.9160401002506267,0.8217452085560831,0.09361019122867621,0.7893692564745196,0.8045381946356778,0.6122644797935564,0.6388888888888888,0.7419354838709677,0.9398496240530839
0.9025974025974026,0.6548938248505515,0.08896998936500496,0.7633116883116884,0.7633116883116884,0.5266233766233767,0.5909090909090909,0.5909090909090909,0.9357142857076021
0.9321238661244917,0.8160659499338176,0.07201707463254237,0.8190491085392555,0.8133497196405254,0.6269222523721524,0.6956521739130435,0.6666666666666666,0.9424460431586875
0.9489603024574669,0.8764307113012115,0.06585631950741688,0.8391304347826087,0.8333178481835919,0.6668859288553501,0.7391304347826086,0.7083333333333334,0.9391304347744424
0.8864705882352941,0.6236967505674402,0.10520472278393352,0.7195588235294117,0.7231815803244375,0.44653390975430907,0.52,0.5416666666666666,0.9191176470520653
0.9075555555555557,0.7439648868245479,0.08745013688438269,0.7908148148148149,0.808503937007874,0.6203326469260283,0.6296296296296297,0.7391304347826086,0.9519999999923839
0.8983997967995936,0.7527664079694801,0.10950020781347884,0.7670815341630683,0.7736979166666667,0.5479774804525245,0.6129032258064516,0.6551724137931034,0.921259842512431
0.9226310483870968,0.800747565912672,0.09264752766159144,0.7918346774193548,0.7987096774193548,0.5980077652091016,0.65625,0.7,0.9274193548312305
0.9017709563164108,0.7557781311469162,0.10839853574270432,0.7526564344746163,0.7712755785044941,0.5492917364253517,0.5714285714285714,0.7142857142857143,0.9338842975129431
0.9011156186612576,0.6607722704262498,0.0890812220835287,0.7596348884381339,0.7532467532467533,0.506828850625844,0.5882352941176471,0.5555555555555556,0.9310344827505945
