Group,n,p_malignant_mean,p_malignant_std,age_mean,lr_prob_mean,upper_limb_rate,lower_limb_rate,frontal_rate
TP,26,0.9197720289230347,0.08304186165332794,-0.5154411110740441,0.024481254656655856,0.2692307692307692,0.6923076923076923,0.5769230769230769
FP,11,0.8265140056610107,0.09450552612543106,0.49011760408228094,0.02290541602467949,0.45454545454545453,0.5454545454545454,0.6363636363636364
TN,189,0.05991902947425842,0.09833002835512161,-0.18099258877534083,0.02247397100679803,0.30158730158730157,0.6455026455026455,0.6666666666666666
FN,15,0.1431623101234436,0.10950197279453278,-0.5546152393023173,0.025442580164720615,0.5333333333333333,0.3333333333333333,0.8666666666666667
