Model,Best_AUC_PR,Final_Accuracy,Final_F1_Macro,Final_Mal_Precision,Final_Mal_Recall,Final_AUC_ROC,Epochs_Trained
densenet121_se,0.9550912982121035,0.93717277486911,0.9068292682926828,0.7608695652173914,0.9722222222222222,0.9808243727598566,35
resnet18_se,0.9618198178227383,0.9214659685863874,0.8824904638858126,0.7333333333333333,0.9166666666666666,0.9790322580645161,39
efficientnet_b0_se,0.9362058713262001,0.8743455497382199,0.8306737588652482,0.603448275862069,0.9722222222222222,0.9754480286738352,39
shufflenet_v2_se,0.8516695157542984,0.7905759162303665,0.7418221140848877,0.4722222222222222,0.9444444444444444,0.9378136200716846,50
mobilenet_v2_se,0.9368720181798922,0.8481675392670157,0.8022986044187458,0.5555555555555556,0.9722222222222222,0.9625448028673835,50
